,time,YPredicted,YReal,KPredicted,NPredicted,RPredicted,loss,An,d,al,tr,depon,gentime,Z,dn,ksted,nsted,rsted,s,A,be,phi,region_id,segment_index
0,0,0.18394376499876,0.18394376499876,0,0.18394376499876,1,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
1,1,0.177486134900065,0.1805852269665,0.0353834824213321,0.1898966850935,0.930628628004532,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
2,2,0.176118839316531,0.17542104760898,0.0561888462177431,0.194010739379153,0.902919655275039,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
3,3,0.176801844667287,0.16863586019855,0.0687891012234174,0.1973462118,0.890638506950791,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
4,4,0.178309413480368,0.16074640930139,0.0766431335498278,0.200324052403592,0.884633026353167,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
5,5,0.180095748328429,0.15249193884066,0.0817700321259277,0.203138206009727,0.880978167188768,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
6,6,0.182019971905148,0.14488338839305,0.085213824940746,0.2058406547946,0.878622933005644,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
7,7,0.183943760951738,0.13885135512987,0.0877069706062469,0.208480257646391,0.87662194669729,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
8,8,0.185853578236382,0.13461756667603,0.089595110093045,0.211060385117205,0.874870537810986,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
9,9,0.187744687983954,0.13152612912473,0.0910838586243172,0.213581513815273,0.873327442507894,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
10,10,0.189573246043842,0.12867617257568,0.0923917243325163,0.2160590133783,0.871713812400805,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
11,11,0.191365763623675,0.1258248116212,0.0935346268971442,0.2184816563216,0.870195671294307,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
12,12,0.193125632370239,0.1236752463658,0.0945465722655787,0.22084738297265,0.868791032733594,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
13,13,0.194827525016088,0.12333085724259,0.0955172093915,0.223165411731307,0.867344079346748,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
14,14,0.19647037508014,0.12559701065723,0.0964637408574919,0.225435760336098,0.865849925361857,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
15,15,0.198083761247956,0.13091989954185,0.097345049106351,0.227646263409792,0.864485356310966,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
16,16,0.199672131896414,0.13975632802742,0.0981614464915471,0.229795228055376,0.863271125298782,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
17,17,0.201210368818742,0.15249426409156,0.0989547997416408,0.231892676359924,0.862056142994069,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
18,18,0.2026243353706,0.16914223042119,0.0998097891941541,0.233969223090221,0.860410173003183,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
19,19,0.20396025716645,0.18954278559825,0.100669882283519,0.236006087053573,0.858608406262577,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
20,20,0.205355835094261,0.21313221028674,0.101409873721616,0.23794628652983,0.857436806956166,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
21,21,0.206839674331506,0.23769245000599,0.102008160033856,0.239779835281466,0.857033344557036,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
