,time,YPredicted,YReal,KPredicted,NPredicted,RPredicted,loss,An,d,al,tr,depon,gentime,Z,dn,ksted,nsted,rsted,s,segment_index,A,be,phi,region_id
0,0,0.18394376499876,0.18394376499876,0,0.18394376499876,1,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
1,1,0.177606648347904,0.1805852269665,0.0353988927658996,0.189727045361026,0.932090526955025,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
2,2,0.176263336660162,0.17542104760898,0.0562255563340163,0.193719385590925,0.905014338528899,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
3,3,0.176934545212867,0.16863586019855,0.0688385461022267,0.196955728495766,0.893067006617224,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
4,4,0.178413677635557,0.16074640930139,0.0766967457889219,0.199846887905763,0.887255316464916,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
5,5,0.180166590485159,0.15249193884066,0.0818192032512092,0.202581134406053,0.883738902304399,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
6,6,0.18205453677647,0.14488338839305,0.0852543917373926,0.20520902578349,0.881484666930835,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
7,7,0.183943762501946,0.13885135512987,0.0877337743128356,0.207777388216647,0.879576944427526,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
8,8,0.185819344896354,0.13461756667603,0.0896085595707726,0.210290100811321,0.877902590900071,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
9,9,0.187678908667008,0.13152612912473,0.091081584406285,0.212746806905316,0.876435663812352,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
10,10,0.189478213961378,0.12867617257568,0.0923736141043153,0.215162894894071,0.874894287228384,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
11,11,0.191243274482778,0.1258248116212,0.093502793490975,0.217527484083637,0.873441828746363,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
